,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,40.13005447387695,70.2614974975586,50.35200119018555,85.37008666992188,288.8500061035156,42.095001220703125,70.2614974975586,50.35200119018555,90.2300033569336,288.8500061035156,43.119998931884766,72.625,51.57099914550781,92.45999908447266,298.8500061035156,42.04999923706055,70.01300048828125,50.1515007019043,89.4800033569336,285.6499938964844,42.74250030517578,71.49849700927734,51.0,91.48999786376953,289.1000061035156,140021200.0,117646000.0,34928000.0,38026000.0,11444800.0
2018-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09,40.5280647277832,70.30400085449219,50.772499084472656,85.88098907470703,289.92999267578125,42.51250076293945,70.30400085449219,50.772499084472656,90.7699966430664,289.92999267578125,43.272499084472656,71.92400360107422,51.97999954223633,93.16999816894531,299.54998779296875,42.462501525878906,70.12850189208984,50.70399856567383,90.62000274658203,289.1199951171875,42.470001220703125,71.25150299072266,50.84000015258789,91.04000091552734,291.7699890136719,116070800.0,84164000.0,35032000.0,31533900.0,9853600.0
2018-04-10,41.29072189331055,71.81099700927734,51.582000732421875,87.87732696533203,298.07000732421875,43.3125,71.81099700927734,51.582000732421875,92.87999725341797,298.07000732421875,43.5,71.91899871826172,51.81399917602539,93.27999877929688,298.95001220703125,42.88249969482422,70.78500366210938,50.56700134277344,91.63999938964844,291.69000244140625,43.25,71.59950256347656,51.321998596191406,92.38999938964844,297.67999267578125,113634400.0,85082000.0,39490000.0,26812000.0,10660500.0
2018-04-11,41.09767150878906,71.35250091552734,50.99850082397461,86.91227722167969,303.6700134277344,43.11000061035156,71.35250091552734,50.99850082397461,91.86000061035156,303.6700134277344,43.47999954223633,72.43900299072266,51.568199157714844,93.29000091552734,311.6400146484375,42.92499923706055,71.24449920654297,50.79349899291992,91.4800033569336,301.82000732421875,43.057498931884766,71.97200012207031,51.39950180053711,92.01000213623047,302.8800048828125,89726400.0,71650000.0,29678000.0,24872100.0,14877400.0
2018-04-12,41.50282669067383,72.42500305175781,51.6254997253418,88.5396499633789,309.25,43.53499984741211,72.42500305175781,51.6254997253418,93.58000183105469,309.25,43.75,72.60600280761719,52.03450012207031,94.16000366210938,311.1300048828125,43.2599983215332,71.75299835205078,51.07175064086914,92.43000030517578,306.75,43.352500915527344,71.9749984741211,51.25199890136719,92.43000030517578,309.7200012207031,91557200.0,62700000.0,27140000.0,26758900.0,10249400.0
2018-04-13,41.64345169067383,71.53949737548828,51.4635009765625,88.06657409667969,311.6499938964844,43.682498931884766,71.53949737548828,51.4635009765625,93.08000183105469,311.6499938964844,43.959999084472656,72.98899841308594,52.32099914550781,94.18000030517578,317.489990234375,43.462501525878906,71.22599792480469,51.14899826049805,92.44000244140625,308.2300109863281,43.69499969482422,72.45700073242188,52.04399871826172,94.05000305175781,317.2900085449219,100497200.0,73706000.0,24460000.0,23346100.0,12046600.0
2018-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
